lat,lon,Time,o3_column,so2_column,SolarZenithAngle,ViewingZenithAngle,datetime
31.125,-125.125,1033423216.4013188,280.1,-0.16,43.068,31.333,2002-09-30 22:00:16.401318789
31.125,-124.875,1033423214.4009528,282.9,0.3,43.23,29.14,2002-09-30 22:00:14.400952816
31.125,-124.625,1033423214.4009528,283.1,-0.01,43.454,26.962,2002-09-30 22:00:14.400952816
31.125,-124.375,1033423212.400587,282.7,-0.14,43.599,24.795,2002-09-30 22:00:12.400586963
31.125,-124.125,1033423214.4009528,283.1,-0.03,43.876,22.639,2002-09-30 22:00:14.400952816
31.125,-123.875,1033423212.400587,283.6,0.14,43.806,22.639,2002-09-30 22:00:12.400586963
31.125,-123.625,1033423210.40019,283.9,-0.23,43.938,20.493,2002-09-30 22:00:10.400189996
31.125,-123.375,1033423210.40019,283.9,-0.23,43.938,20.493,2002-09-30 22:00:10.400189996
31.125,-112.375,1033423194.397154,278.9,0.08,51.53,56.445,2002-09-30 21:59:54.397153974
31.125,-112.125,1033423194.397154,278.9,0.08,51.53,56.445,2002-09-30 21:59:54.397153974
31.125,-111.875,1033423194.397154,278.9,0.08,51.53,56.445,2002-09-30 21:59:54.397153974
31.125,-111.625,1033423194.397154,278.9,0.08,51.53,56.445,2002-09-30 21:59:54.397153974
31.125,-111.375,1033423194.397154,278.9,0.08,51.53,56.445,2002-09-30 21:59:54.397153974
31.125,-111.125,1033423194.397154,273.0,-0.05,52.097,59.102,2002-09-30 21:59:54.397153974
31.125,-110.875,1033423194.397154,273.0,-0.05,52.097,59.102,2002-09-30 21:59:54.397153974
31.125,-110.625,1033423194.397154,273.0,-0.05,52.097,59.102,2002-09-30 21:59:54.397153974
31.125,-110.375,1033423196.397535,270.6,0.55,52.809,61.869,2002-09-30 21:59:56.397534966
31.125,-110.125,1033423196.397535,270.6,0.55,52.809,61.869,2002-09-30 21:59:56.397534966
31.125,-109.875,1033423196.397535,270.6,0.55,52.809,61.869,2002-09-30 21:59:56.397534966
31.125,-109.625,1033423196.397535,270.6,0.55,52.809,61.869,2002-09-30 21:59:56.397534966
31.125,-108.625,1033417335.2869848,273.0,-0.4,39.381,62.721,2002-09-30 20:22:15.286984801
31.125,-108.375,1033417331.286222,271.7,0.09,39.223,62.721,2002-09-30 20:22:11.286221981
31.125,-108.125,1033417331.286222,271.7,0.09,39.223,62.721,2002-09-30 20:22:11.286221981
31.125,-107.875,1033417331.286222,271.7,0.09,39.223,62.721,2002-09-30 20:22:11.286221981
31.125,-107.625,1033417331.286222,271.7,0.09,39.223,62.721,2002-09-30 20:22:11.286221981
31.125,-107.375,1033417325.285078,274.8,-0.1,39.654,59.923,2002-09-30 20:22:05.285078049
31.125,-107.125,1033417325.285078,274.8,-0.1,39.654,59.923,2002-09-30 20:22:05.285078049
31.125,-106.875,1033417325.285078,274.8,-0.1,39.654,59.923,2002-09-30 20:22:05.285078049
31.125,-106.625,1033417325.285078,274.8,-0.1,39.654,59.923,2002-09-30 20:22:05.285078049
31.125,-106.375,1033417321.284315,272.0,0.37,40.082,57.243,2002-09-30 20:22:01.284314990
31.125,-106.125,1033417321.284315,272.0,0.37,40.082,57.243,2002-09-30 20:22:01.284314990
31.125,-105.875,1033417321.284315,272.0,0.37,40.082,57.243,2002-09-30 20:22:01.284314990
31.125,-105.625,1033417317.283552,272.5,-0.14,40.445,54.654,2002-09-30 20:21:57.283552051
31.125,-105.375,1033417317.283552,272.5,-0.14,40.445,54.654,2002-09-30 20:21:57.283552051
31.125,-105.125,1033417317.283552,272.5,-0.14,40.445,54.654,2002-09-30 20:21:57.283552051
31.125,-104.875,1033417315.28317,272.8,-0.34,40.832,52.139,2002-09-30 20:21:55.283169985
31.125,-104.625,1033417315.28317,272.8,-0.34,40.832,52.139,2002-09-30 20:21:55.283169985
31.125,-104.375,1033417315.28317,276.6,-0.1,41.252,49.683,2002-09-30 20:21:55.283169985
31.125,-104.125,1033417311.282438,275.0,-0.06,41.102,49.683,2002-09-30 20:21:51.282438040
31.125,-103.875,1033417311.282438,275.0,-0.06,41.102,49.683,2002-09-30 20:21:51.282438040
31.125,-103.625,1033417309.2820568,278.9,0.21,41.411,47.277,2002-09-30 20:21:49.282056808
31.125,-103.375,1033417309.2820568,278.9,0.21,41.411,47.277,2002-09-30 20:21:49.282056808
31.125,-103.125,1033417307.281675,278.0,0.16,41.691,44.913,2002-09-30 20:21:47.281674981
31.125,-102.875,1033417307.281675,278.0,0.16,41.691,44.913,2002-09-30 20:21:47.281674981
31.125,-102.625,1033417305.281294,278.0,-0.94,41.946,42.585,2002-09-30 20:21:45.281293988
31.125,-102.375,1033417305.281294,278.0,-0.94,41.946,42.585,2002-09-30 20:21:45.281293988
31.125,-102.125,1033417303.280897,278.0,-0.2,42.18,40.287,2002-09-30 20:21:43.280897021
31.125,-101.875,1033417303.280897,278.8,0.06,42.467,38.017,2002-09-30 20:21:43.280897021
31.125,-101.625,1033417301.280546,278.2,0.12,42.395,38.017,2002-09-30 20:21:41.280545950
31.125,-101.375,1033417299.280164,277.5,-0.27,42.594,35.769,2002-09-30 20:21:39.280164003
31.125,-101.125,1033417303.280897,277.8,0.21,42.995,33.543,2002-09-30 20:21:43.280897021
31.125,-100.875,1033417299.280164,277.7,-0.14,42.851,33.543,2002-09-30 20:21:39.280164003
31.125,-100.625,1033417297.279783,276.4,-0.21,43.024,31.334,2002-09-30 20:21:37.279783010
31.125,-100.375,1033417297.279783,278.5,0.05,43.257,29.141,2002-09-30 20:21:37.279783010
31.125,-100.125,1033417299.280164,279.9,0.38,43.552,26.962,2002-09-30 20:21:39.280164003
31.125,-99.875,1033417295.279386,280.1,-0.06,43.41,26.962,2002-09-30 20:21:35.279386044
31.125,-99.625,1033417293.279035,280.8,0.08,43.555,24.796,2002-09-30 20:21:33.279034972
31.125,-99.375,1033417293.279035,281.7,0.33,43.763,22.64,2002-09-30 20:21:33.279034972
31.125,-99.125,1033417291.278623,282.0,-0.02,43.895,20.494,2002-09-30 20:21:31.278622985
31.125,-98.875,1033417291.278623,282.0,-0.02,43.895,20.494,2002-09-30 20:21:31.278622985
